epoch,loss,out0_acc,out0_loss,out1_acc,out1_loss,out2_acc,out2_loss,out3_acc,out3_loss,val_loss,val_out0_acc,val_out0_loss,val_out1_acc,val_out1_loss,val_out2_acc,val_out2_loss,val_out3_acc,val_out3_loss
0,15.879656791687012,0.1538107544183731,3.291713237762451,0.016016200184822083,4.19021463394165,0.016200294718146324,4.196915149688721,0.017581000924110413,4.200814247131348,16.524959564208984,0.017335766926407814,4.138668060302734,0.017335766926407814,4.128281116485596,0.017335766926407814,4.128702640533447,0.024635037407279015,4.129307270050049
1,13.621792793273926,0.3082658350467682,2.6112356185913086,0.0648932233452797,3.8748583793640137,0.07170471549034119,3.786088228225708,0.15767672657966614,3.3496129512786865,18.6339111328125,0.013686131685972214,4.710268497467041,0.014598540030419827,4.32337760925293,0.017335766926407814,4.4677510261535645,0.012773722410202026,5.132514476776123
2,7.200216293334961,0.49889543652534485,1.9696050882339478,0.4104381501674652,2.100123643875122,0.40068113803863525,2.1168582439422607,0.664672315120697,1.0136282444000244,20.576135635375977,0.017335766926407814,5.5629706382751465,0.012773722410202026,4.281705379486084,0.02281021885573864,4.4603352546691895,0.03010948933660984,6.271122932434082
3,3.260338068008423,0.6775588989257812,1.249338984489441,0.7564433217048645,0.7859481573104858,0.7568114995956421,0.7819855809211731,0.844716489315033,0.44306525588035583,15.898587226867676,0.08302919566631317,6.294434547424316,0.26094889640808105,3.070730209350586,0.28375911712646484,2.821197032928467,0.18704380095005035,3.7122247219085693
4,1.7782926559448242,0.7988770008087158,0.7316688299179077,0.8713181018829346,0.4047839343547821,0.8781296014785767,0.38674792647361755,0.9122790694236755,0.25509214401245117,9.888062477111816,0.16605839133262634,6.584890365600586,0.6332116723060608,1.2265669107437134,0.6341241002082825,1.2369589805603027,0.7427007555961609,0.8396461009979248
5,1.0836091041564941,0.8713181018829346,0.4534720778465271,0.9292157292366028,0.23800885677337646,0.9282953143119812,0.23229293525218964,0.946244478225708,0.15983521938323975,5.607822895050049,0.4352189898490906,3.3961832523345947,0.7947080135345459,0.6812793016433716,0.7372262477874756,0.8790507912635803,0.8120437860488892,0.6513093113899231
6,0.6450628638267517,0.9319771528244019,0.23990492522716522,0.9546207785606384,0.15019415318965912,0.9516752362251282,0.15074008703231812,0.9666789174079895,0.1042235866189003,3.2320024967193604,0.6441605687141418,1.5904052257537842,0.8029196858406067,0.6818027496337891,0.819343090057373,0.6137577891349792,0.8941605687141418,0.346036821603775
7,0.3655475378036499,0.9613401889801025,0.13219642639160156,0.9772643446922302,0.08176732808351517,0.9736745357513428,0.0854230746626854,0.9794734716415405,0.06616077572107315,2.7796313762664795,0.7746350169181824,1.0649563074111938,0.8010948896408081,0.6920886039733887,0.8147810101509094,0.6217501163482666,0.8686131238937378,0.4008362591266632
8,0.25577446818351746,0.9749631881713867,0.09453040361404419,0.9838917255401611,0.05880444496870041,0.9834315180778503,0.059048064053058624,0.9872974753379822,0.0433916300535202,1.881889820098877,0.8759124279022217,0.6185356378555298,0.8576642274856567,0.4695204496383667,0.8439781069755554,0.5215674042701721,0.9197080135345459,0.2722662687301636
9,0.17729906737804413,0.9841678738594055,0.06540639698505402,0.9905191659927368,0.039173610508441925,0.9892305135726929,0.03969310596585274,0.991255521774292,0.03302603214979172,1.8158296346664429,0.9251824617385864,0.6453680992126465,0.8722627758979797,0.4414859116077423,0.864051103591919,0.4883866608142853,0.918795645236969,0.2405889481306076
10,0.14171607792377472,0.9869292974472046,0.06226621940732002,0.9950294494628906,0.027302788570523262,0.9944771528244019,0.029207108542323112,0.9945692420005798,0.022940021008253098,2.1419320106506348,0.8968977928161621,0.6816779971122742,0.864051103591919,0.5320338606834412,0.8567517995834351,0.546402633190155,0.9014598727226257,0.381817489862442
